screenshot_id,source_file,flow_id,screen_family,implementation_phase,matter_route,audit_status,lowres_similarity,changed_pixel_ratio,white_ratio_delta,blue_ratio_delta,brightness_delta,audit_note
0,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 0.png,marketing-entry,Marketing landing,P2 auth and onboarding flow,/?locale=en&view=auth&authStep=signup,pixel_baseline_close,0.9396,0.1608,0.3827,0.0536,5.49,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
1,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 1.png,signup-start,Signup modal over app preview,P2 auth and onboarding flow,/?locale=en&view=auth&authStep=signupModal,pixel_baseline_close,0.9494,0.0915,0.0089,0.0047,8.05,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
2,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 2.png,signup-start,Signup modal over app preview,P2 auth and onboarding flow,/?locale=en&view=auth&authStep=signupModal,pixel_baseline_close,0.9493,0.0919,0.0104,0.0047,8.14,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
3,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 3.png,signup-start,Signup modal over app preview,P2 auth and onboarding flow,/?locale=en&view=auth&authStep=signupModal,pixel_baseline_close,0.9493,0.092,0.0106,0.0051,8.16,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
4,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 4.png,email-verification,Email verification,P2 auth and onboarding flow,/?locale=ko&view=auth&authStep=verify,pixel_baseline_close,0.9656,0.0484,0.4794,0.0084,1.94,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
5,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 5.png,password-setup,Password setup,P2 auth and onboarding flow,/?locale=en&view=auth&authStep=password,pixel_baseline_close,0.9643,0.0602,0.5009,0.0044,1.23,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
6,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 6.png,password-setup,Password setup,P2 auth and onboarding flow,/?locale=en&view=auth&authStep=password,pixel_baseline_close,0.9641,0.0611,0.5007,0.0044,1.27,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
7,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 7.png,password-setup,Password setup,P2 auth and onboarding flow,/?locale=en&view=auth&authStep=password,pixel_baseline_close,0.9639,0.0625,0.4976,0.0085,1.3,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
8,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 8.png,organization-create,Organization creation,P2 auth and onboarding flow,/?locale=ko&view=auth&authStep=org,pixel_baseline_close,0.9635,0.0573,0.4914,0.0024,1.96,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
9,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 9.png,organization-create,Organization creation,P2 auth and onboarding flow,/?locale=ko&view=auth&authStep=org,pixel_baseline_close,0.9638,0.057,0.4856,0.0028,1.89,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
10,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 10.png,organization-create,Organization creation,P2 auth and onboarding flow,/?locale=ko&view=auth&authStep=org,pixel_baseline_close,0.9637,0.0575,0.4859,0.0024,1.91,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
11,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 11.png,loading,Loading interstitial,P1 app shell / navigation / search,/?locale=ko&view=loading,pixel_baseline_close,0.9894,0.0061,0.0011,0.0032,2.39,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
12,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 12.png,onboarding-source-selection,Onboarding checklist,P2 auth and onboarding flow,/?locale=en&view=auth&authStep=onboarding,pixel_baseline_close,0.954,0.1052,0.1823,0.0156,3.6,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
13,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 13.png,onboarding-source-selection,Onboarding checklist,P2 auth and onboarding flow,/?locale=en&view=auth&authStep=onboarding,pixel_baseline_close,0.9533,0.104,0.1493,0.0145,3.33,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
14,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 14.png,home-dashboard,Home dashboard,P3 home dashboards and templates,/?locale=ko&view=home,pixel_baseline_close,0.9475,0.1347,0.0853,0.0548,2.81,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
15,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 15.png,home-dashboard,Home dashboard,P3 home dashboards and templates,/?locale=ko&view=home,pixel_baseline_close,0.9475,0.1389,0.0704,0.0549,2.78,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
16,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 16.png,home-guidance,Guidance overlays,P3 home dashboards and templates,/?locale=en&view=home&modal=newNavigationTour,pixel_baseline_close,0.9555,0.0952,0.0157,0.0048,6.46,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
17,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 17.png,home-guidance,Guidance overlays,P3 home dashboards and templates,/?locale=en&view=home&variant=tour,pixel_baseline_close,0.9543,0.1177,0.1248,0.0219,4.85,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
18,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 18.png,home-guidance,Guidance overlays,P3 home dashboards and templates,/?locale=en&view=home&variant=tour,pixel_baseline_close,0.9139,0.212,0.0822,0.0376,2.72,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
19,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 19.png,home-guidance,Guidance overlays,P3 home dashboards and templates,/?locale=en&view=home&variant=tour,pixel_baseline_close,0.923,0.1773,0.0757,0.0812,5.19,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
20,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 20.png,home-widgets,Dashboard widgets,P3 home dashboards and templates,/?locale=ko&view=home,pixel_baseline_close,0.9273,0.1643,0.0978,0.0471,2.04,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
21,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 21.png,home-widgets,Dashboard widgets,P3 home dashboards and templates,/?locale=ko&view=home,pixel_baseline_close,0.8651,0.2338,0.1839,0.0028,26.4,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
22,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 22.png,home-widgets,Dashboard widgets,P3 home dashboards and templates,/?locale=ko&view=home,pixel_baseline_close,0.9477,0.131,0.0452,0.0535,2.98,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
23,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 23.png,home-widgets,Dashboard widgets,P3 home dashboards and templates,/?locale=ko&view=home,pixel_baseline_close,0.9496,0.1315,0.0122,0.0589,4.49,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
24,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 24.png,home-widgets,Dashboard widgets,P3 home dashboards and templates,/?locale=ko&view=home,pixel_baseline_close,0.9472,0.1385,0.0922,0.0519,2.7,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
25,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 25.png,home-actions,Home menus and resources,P3 home dashboards and templates,/?locale=ko&view=home&query=atlas,pixel_baseline_close,0.9642,0.0947,0.1598,0.0085,2.75,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
26,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 26.png,home-actions,Home menus and resources,P3 home dashboards and templates,/?locale=en&view=home&modal=annotation,pixel_baseline_close,0.9236,0.1218,0.0494,0.0013,0.61,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
27,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 27.png,home-actions,Home menus and resources,P3 home dashboards and templates,/?locale=en&view=home&modal=annotation,pixel_baseline_close,0.9231,0.1253,0.0478,0.0003,0.34,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
28,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 28.png,home-actions,Home menus and resources,P3 home dashboards and templates,/?locale=ko&view=home&query=atlas,pixel_baseline_close,0.9657,0.0894,0.1523,0.0059,2.36,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
29,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 29.png,home-actions,Home menus and resources,P3 home dashboards and templates,/?locale=ko&view=home&query=atlas,pixel_baseline_close,0.952,0.121,0.1765,0.0419,6.2,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
