manifest_id,source_path,target_path,action,owner_module,status,reason,evidence
MIG-G0-001,README.md,README.md,Reference,Product Governance,planned,Root orientation remains canonical,
MIG-G0-002,contracts/law-firm-os.product-contract.json,contracts/law-firm-os.product-contract.json,Reference,Product Governance,planned,Contract remains source of invariants,
MIG-G0-003,contracts/master-data-contract.json,contracts/master-data-contract.json,Reference,Party & Relationship Master,planned,Party Master contract remains in place,
MIG-G0-004,contracts/crm-core-contract.json,contracts/crm-core-contract.json,Reference,Client Growth / CRM,planned,CRM stays pre-Matter,
MIG-G0-005,contracts/intake-core-contract.json,contracts/intake-core-contract.json,Reference,Intake / Conflict / Engagement,planned,Intake is mandatory gate,
MIG-G0-006,contracts/matter-core-contract.json,contracts/matter-core-contract.json,Reference,Matter Management,planned,Matter runtime opens after clearance,
MIG-G0-007,packages/master-data,packages/master-data,Reference,Party & Relationship Master,planned,No package movement during G0,
MIG-G0-008,packages/crm,packages/crm,Reference,Client Growth / CRM,planned,Descriptor package remains in place,
MIG-G0-009,packages/intake,packages/intake,Reference,Intake / Conflict / Engagement,planned,Descriptor package remains in place,
MIG-G0-010,packages/matter,packages/matter,Reference,Matter Management,planned,Descriptor package remains in place,
MIG-G0-011,packages/billing,packages/billing,Reference,Time / Expense / Billing,planned,Descriptor package remains in place,
MIG-G0-012,workbook/matter_dev_docs,docs/reorganization/client-matter-os,Reference,Product Governance,planned,Existing docs referenced before split/merge,
MIG-G0-013,/Users/jws/Documents/Codex/matter-erp-crm-integration,docs/reorganization/client-matter-os,Reference,Product Governance,planned,External source package registered but not copied,
MIG-G0-014,docs/weighted-implementation-ledger.json,,Archive/Exclude,Product Governance,planned,File exceeds GitHub 100MB limit and is excluded from sanitized remote snapshot,
