"screenshot_id","flow_id","screen_family","implementation_phase","foundation_status","route_verification_tier","route_verified","evidence_surface","evidence_captures","next_gate"
"0","marketing-entry","Marketing landing","P2 auth and onboarding flow","representative_verified","screenshot_state_route_verified","true","Auth/public marketing/sign-up/login/password/org/verify/reset state family","phase-p2-auth-desktop-ko.png; phase-p2-signup-modal-desktop-en.png; phase-p2-login-desktop-en.png; phase-p2-verify-desktop-ko.png; phase-p2-onboarding-desktop-en.png","Add screenshot-specific state capture and compare exact modal/dropdown/table variants"
"1","signup-start","Signup modal over app preview","P2 auth and onboarding flow","representative_verified","screenshot_state_route_verified","true","Auth/public marketing/sign-up/login/password/org/verify/reset state family","phase-p2-auth-desktop-ko.png; phase-p2-signup-modal-desktop-en.png; phase-p2-login-desktop-en.png; phase-p2-verify-desktop-ko.png; phase-p2-onboarding-desktop-en.png","Add screenshot-specific state capture and compare exact modal/dropdown/table variants"
"2","signup-start","Signup modal over app preview","P2 auth and onboarding flow","representative_verified","screenshot_state_route_verified","true","Auth/public marketing/sign-up/login/password/org/verify/reset state family","phase-p2-auth-desktop-ko.png; phase-p2-signup-modal-desktop-en.png; phase-p2-login-desktop-en.png; phase-p2-verify-desktop-ko.png; phase-p2-onboarding-desktop-en.png","Add screenshot-specific state capture and compare exact modal/dropdown/table variants"
"3","signup-start","Signup modal over app preview","P2 auth and onboarding flow","representative_verified","screenshot_state_route_verified","true","Auth/public marketing/sign-up/login/password/org/verify/reset state family","phase-p2-auth-desktop-ko.png; phase-p2-signup-modal-desktop-en.png; phase-p2-login-desktop-en.png; phase-p2-verify-desktop-ko.png; phase-p2-onboarding-desktop-en.png","Add screenshot-specific state capture and compare exact modal/dropdown/table variants"
"4","email-verification","Email verification","P2 auth and onboarding flow","representative_verified","screenshot_state_route_verified","true","Auth/public marketing/sign-up/login/password/org/verify/reset state family","phase-p2-auth-desktop-ko.png; phase-p2-signup-modal-desktop-en.png; phase-p2-login-desktop-en.png; phase-p2-verify-desktop-ko.png; phase-p2-onboarding-desktop-en.png","Add screenshot-specific state capture and compare exact modal/dropdown/table variants"
"5","password-setup","Password setup","P2 auth and onboarding flow","representative_verified","screenshot_state_route_verified","true","Auth/public marketing/sign-up/login/password/org/verify/reset state family","phase-p2-auth-desktop-ko.png; phase-p2-signup-modal-desktop-en.png; phase-p2-login-desktop-en.png; phase-p2-verify-desktop-ko.png; phase-p2-onboarding-desktop-en.png","Add screenshot-specific state capture and compare exact modal/dropdown/table variants"
"6","password-setup","Password setup","P2 auth and onboarding flow","representative_verified","screenshot_state_route_verified","true","Auth/public marketing/sign-up/login/password/org/verify/reset state family","phase-p2-auth-desktop-ko.png; phase-p2-signup-modal-desktop-en.png; phase-p2-login-desktop-en.png; phase-p2-verify-desktop-ko.png; phase-p2-onboarding-desktop-en.png","Add screenshot-specific state capture and compare exact modal/dropdown/table variants"
"7","password-setup","Password setup","P2 auth and onboarding flow","representative_verified","screenshot_state_route_verified","true","Auth/public marketing/sign-up/login/password/org/verify/reset state family","phase-p2-auth-desktop-ko.png; phase-p2-signup-modal-desktop-en.png; phase-p2-login-desktop-en.png; phase-p2-verify-desktop-ko.png; phase-p2-onboarding-desktop-en.png","Add screenshot-specific state capture and compare exact modal/dropdown/table variants"
"8","organization-create","Organization creation","P2 auth and onboarding flow","representative_verified","screenshot_state_route_verified","true","Auth/public marketing/sign-up/login/password/org/verify/reset state family","phase-p2-auth-desktop-ko.png; phase-p2-signup-modal-desktop-en.png; phase-p2-login-desktop-en.png; phase-p2-verify-desktop-ko.png; phase-p2-onboarding-desktop-en.png","Add screenshot-specific state capture and compare exact modal/dropdown/table variants"
"9","organization-create","Organization creation","P2 auth and onboarding flow","representative_verified","screenshot_state_route_verified","true","Auth/public marketing/sign-up/login/password/org/verify/reset state family","phase-p2-auth-desktop-ko.png; phase-p2-signup-modal-desktop-en.png; phase-p2-login-desktop-en.png; phase-p2-verify-desktop-ko.png; phase-p2-onboarding-desktop-en.png","Add screenshot-specific state capture and compare exact modal/dropdown/table variants"
"10","organization-create","Organization creation","P2 auth and onboarding flow","representative_verified","screenshot_state_route_verified","true","Auth/public marketing/sign-up/login/password/org/verify/reset state family","phase-p2-auth-desktop-ko.png; phase-p2-signup-modal-desktop-en.png; phase-p2-login-desktop-en.png; phase-p2-verify-desktop-ko.png; phase-p2-onboarding-desktop-en.png","Add screenshot-specific state capture and compare exact modal/dropdown/table variants"
"11","loading","Loading interstitial","P1 app shell / navigation / search","componentized_foundation","screenshot_state_route_verified","true","Shared shell, search popover, loading state family","phase-00-render-desktop-ko.png; phase-00-render-desktop-en.png; phase-00-render-mobile-ko.png; phase-p1-global-search-desktop-ko.png; phase-p1-loading-desktop-ko.png","Implement or expand code-native state family"
"12","onboarding-source-selection","Onboarding checklist","P2 auth and onboarding flow","representative_verified","screenshot_state_route_verified","true","Auth/public marketing/sign-up/login/password/org/verify/reset state family","phase-p2-auth-desktop-ko.png; phase-p2-signup-modal-desktop-en.png; phase-p2-login-desktop-en.png; phase-p2-verify-desktop-ko.png; phase-p2-onboarding-desktop-en.png","Add screenshot-specific state capture and compare exact modal/dropdown/table variants"
"13","onboarding-source-selection","Onboarding checklist","P2 auth and onboarding flow","representative_verified","screenshot_state_route_verified","true","Auth/public marketing/sign-up/login/password/org/verify/reset state family","phase-p2-auth-desktop-ko.png; phase-p2-signup-modal-desktop-en.png; phase-p2-login-desktop-en.png; phase-p2-verify-desktop-ko.png; phase-p2-onboarding-desktop-en.png","Add screenshot-specific state capture and compare exact modal/dropdown/table variants"
"14","home-dashboard","Home dashboard","P3 home dashboards and templates","representative_verified","screenshot_state_route_verified","true","Home dashboard, metric cards, charts, tables, templates, guided setup","phase-00-render-desktop-ko.png; phase-00-render-desktop-en.png; phase-00-render-mobile-ko.png; phase-00-render-mobile-en.png; phase-p3-home-tour-desktop-en.png; phase-p3-annotation-modal-desktop-en.png","Add screenshot-specific state capture and compare exact modal/dropdown/table variants"
"15","home-dashboard","Home dashboard","P3 home dashboards and templates","representative_verified","screenshot_state_route_verified","true","Home dashboard, metric cards, charts, tables, templates, guided setup","phase-00-render-desktop-ko.png; phase-00-render-desktop-en.png; phase-00-render-mobile-ko.png; phase-00-render-mobile-en.png; phase-p3-home-tour-desktop-en.png; phase-p3-annotation-modal-desktop-en.png","Add screenshot-specific state capture and compare exact modal/dropdown/table variants"
"16","home-guidance","Guidance overlays","P3 home dashboards and templates","representative_verified","screenshot_state_route_verified","true","Home dashboard, metric cards, charts, tables, templates, guided setup","phase-00-render-desktop-ko.png; phase-00-render-desktop-en.png; phase-00-render-mobile-ko.png; phase-00-render-mobile-en.png; phase-p3-home-tour-desktop-en.png; phase-p3-annotation-modal-desktop-en.png","Add screenshot-specific state capture and compare exact modal/dropdown/table variants"
