screenshot_id,file,flow_id,screen_family,screen_type,ui_elements,matter_destination,implementation_phase,coverage_status,coverage_rule
"0","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 0.png","marketing-entry","Marketing landing","public landing page with top nav, geometric hero, CTA pair, customer logos, downstream product section","public top navigation; geometric brand motif; primary and secondary CTA; logo trust strip; section preview","Public matter marketing shell and pre-auth brand promise","P2 auth and onboarding flow","planned","must be implemented or componentized; do not ignore"
"1","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 1.png","signup-start","Signup modal over app preview","get started modal variants with form fields, consent checkboxes, blue continue CTA, dimmed dashboard behind","modal overlay; signup form; checkbox rows; customer data storage select; full-width primary CTA","matter account creation and tenant-region consent","P2 auth and onboarding flow","planned","must be implemented or componentized; do not ignore"
"2","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 2.png","signup-start","Signup modal over app preview","get started modal variants with form fields, consent checkboxes, blue continue CTA, dimmed dashboard behind","modal overlay; signup form; checkbox rows; customer data storage select; full-width primary CTA","matter account creation and tenant-region consent","P2 auth and onboarding flow","planned","must be implemented or componentized; do not ignore"
"3","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 3.png","signup-start","Signup modal over app preview","get started modal variants with form fields, consent checkboxes, blue continue CTA, dimmed dashboard behind","modal overlay; signup form; checkbox rows; customer data storage select; full-width primary CTA","matter account creation and tenant-region consent","P2 auth and onboarding flow","planned","must be implemented or componentized; do not ignore"
"4","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 4.png","email-verification","Email verification","centered email-sent confirmation card with illustration and resend/back links","centered card; verification illustration; secondary button; text link","matter email verification and invite acceptance","P2 auth and onboarding flow","planned","must be implemented or componentized; do not ignore"
"5","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 5.png","password-setup","Password setup","set password form states with validation feedback and data residency selector","compact auth form; password validation; select control; status helper text; captcha badge","password setup for firm users","P2 auth and onboarding flow","planned","must be implemented or componentized; do not ignore"
"6","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 6.png","password-setup","Password setup","set password form states with validation feedback and data residency selector","compact auth form; password validation; select control; status helper text; captcha badge","password setup for firm users","P2 auth and onboarding flow","planned","must be implemented or componentized; do not ignore"
"7","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 7.png","password-setup","Password setup","set password form states with validation feedback and data residency selector","compact auth form; password validation; select control; status helper text; captcha badge","password setup for firm users","P2 auth and onboarding flow","planned","must be implemented or componentized; do not ignore"
"8","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 8.png","organization-create","Organization creation","create organization form states with terms, privacy, invite/news options","organization form; tenant name input; agreement checks; primary CTA; auth shell","AMIC Law tenant creation","P2 auth and onboarding flow","planned","must be implemented or componentized; do not ignore"
"9","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 9.png","organization-create","Organization creation","create organization form states with terms, privacy, invite/news options","organization form; tenant name input; agreement checks; primary CTA; auth shell","AMIC Law tenant creation","P2 auth and onboarding flow","planned","must be implemented or componentized; do not ignore"
"10","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 10.png","organization-create","Organization creation","create organization form states with terms, privacy, invite/news options","organization form; tenant name input; agreement checks; primary CTA; auth shell","AMIC Law tenant creation","P2 auth and onboarding flow","planned","must be implemented or componentized; do not ignore"
"11","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 11.png","loading","Loading interstitial","minimal centered spinner with brand mark","spinner; empty gray stage; brand mark","route-level loading and data-fetch state","P1 app shell / navigation / search","planned","must be implemented or componentized; do not ignore"
"12","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 12.png","onboarding-source-selection","Onboarding checklist","set up product onboarding with source cards, checklists, progress bar, and workspace chrome","onboarding checklist; progress indicator; source cards; table list; top action row","matter setup checklist for DMS, billing, audit, client portal integrations","P2 auth and onboarding flow","planned","must be implemented or componentized; do not ignore"
