category	path	origin_main_blob	integration_blob	status	semantic_disposition	validation
RELEASE_INFRA	.github/pull_request_template.md	6eac4c1169667cebf4791e5be406e6cb262ef869	6eac4c1169667cebf4791e5be406e6cb262ef869	BYTE_IDENTICAL	PRESERVED	blob_identity
RELEASE_INFRA	.github/workflows/hrx-production-rollout.yml	ce5a4d71f017d811b7d7458738a84a36f7dab28e	c8134e25a85e6b43d534f8b064e290ffe99a114b	MODIFIED	STRENGTHENED_PII_CI_GATE	yaml_parse_and_pii_guard
RELEASE_INFRA	.github/workflows/production-smoke.yml	b234bc667366e3bb19188e4b226480fbdfe9d53c	b234bc667366e3bb19188e4b226480fbdfe9d53c	BYTE_IDENTICAL	PRESERVED	blob_identity
CRITICAL_OPERATIONS	AGENTS.md	19affe3f146d5d8c558c70f6d23983470be9178d	1c12eb9c321b8c1d5b4670249b095fab8a5b1e3b	MODIFIED	PRESERVED_PLUS_AWS_ROLE_CHAIN	manual_contract_review
AWS_RUNTIME_AUTH	apps/api/src/lambda.js	3c25d121487d2f469b0e8df537972cd8e2141de6	9a7ab48f0ec75e7b40ce3b91545375229ca71b4d	MODIFIED	STRENGTHENED_SESSION_SCRYPT_RUNTIME_BOUNDARY	api_and_desktop_auth_tests
AWS_RUNTIME_AUTH	apps/api/src/matter-temp-desktop-runtime-lambda.mjs	2ad1d0f994df2b24a495e383cd689f6af7c469e7	4e7dbdb2759cc6bd6ff1f72e71d791c62658f7c4	MODIFIED	STRENGTHENED_SESSION_SCRYPT_RUNTIME_BOUNDARY	api_and_desktop_auth_tests
SECURITY_AUTHZ	apps/api/src/middleware/hrx-authz.js	71200bfc2904bab8140117ae3c037499c10ca5d9	8088b279010a0f70f077abd4dc9cb41e32dcb1cd	MODIFIED	STRENGTHENED_ROLE_PURPOSE_SCOPE_SESSION_BOUNDARY	authz_api_security_tests
SECURITY_AUTHZ	apps/api/test/e2e/vault-storage-security.test.js	4d1c2dfeb6bb7d4d5c5f848f2415cce06c81f89d	4d1c2dfeb6bb7d4d5c5f848f2415cce06c81f89d	BYTE_IDENTICAL	PRESERVED	blob_identity
SECURITY_AUTHZ	apps/api/test/hrx/route-authz.test.js	44193665bdaba65489c46bd1f939d07a8d80b33e	49ceb674c440bef2a707f26a107a75f7b2857060	MODIFIED	STRENGTHENED_ROLE_PURPOSE_SCOPE_SESSION_BOUNDARY	authz_api_security_tests
SECURITY_AUTHZ	apps/api/test/hrx/secret-exposure.test.js	7b1e345cc8b9af2adb12b780a6301195cfd2a8c3	48a54dbb492f2d33f441f8d1c8ef817d94942861	MODIFIED	STRENGTHENED_TEST_COVERAGE	targeted_test_suite
SECURITY_AUTHZ	apps/api/test/hrx/security-regression.test.js	e21c27820c4fea77193859099ce9ac4530cb6c38	31453ad0c1be1b93b43ed619efecb23b2aa61fbd	MODIFIED	STRENGTHENED_ROLE_PURPOSE_SCOPE_SESSION_BOUNDARY	authz_api_security_tests
AWS_RUNTIME_AUTH	apps/api/test/matter-temp-desktop-runtime-lambda.test.js	0ad9c34e883a7d6dd74e931c64b646ea199a08bd	79420c6091920bf2124cca921534f157d1887fd9	MODIFIED	STRENGTHENED_SESSION_SCRYPT_RUNTIME_BOUNDARY	api_and_desktop_auth_tests
SECURITY_AUTHZ	apps/api/test/security/matter-vault-ethical-wall.test.js	4d1c2dfeb6bb7d4d5c5f848f2415cce06c81f89d	4d1c2dfeb6bb7d4d5c5f848f2415cce06c81f89d	BYTE_IDENTICAL	PRESERVED	blob_identity
SECURITY_AUTHZ	apps/api/test/security/matter-vault-legal-hold.test.js	4d1c2dfeb6bb7d4d5c5f848f2415cce06c81f89d	4d1c2dfeb6bb7d4d5c5f848f2415cce06c81f89d	BYTE_IDENTICAL	PRESERVED	blob_identity
SECURITY_AUTHZ	apps/api/test/security/matter-vault-security.test.js	4d1c2dfeb6bb7d4d5c5f848f2415cce06c81f89d	4d1c2dfeb6bb7d4d5c5f848f2415cce06c81f89d	BYTE_IDENTICAL	PRESERVED	blob_identity
SECURITY_AUTHZ	apps/api/test/security/matter-vault-tenant-leak.test.js	4d1c2dfeb6bb7d4d5c5f848f2415cce06c81f89d	4d1c2dfeb6bb7d4d5c5f848f2415cce06c81f89d	BYTE_IDENTICAL	PRESERVED	blob_identity
AWS_RUNTIME_AUTH	apps/desktop/src/main/auth.js	c989fc36c386f81af75320761d3481baa660cef7	4ac72267f367e5112ddd501a30d3153d05fe8844	MODIFIED	STRENGTHENED_SESSION_SCRYPT_RUNTIME_BOUNDARY	api_and_desktop_auth_tests
AWS_RUNTIME_AUTH	apps/desktop/src/main/aws-runtime.js	b2fd8d3356b82bd6378bb518bbab45fe6ccedfdc	9903b5cfb6ad17d9426f465f41e35fb5ea833632	MODIFIED	STRENGTHENED_SESSION_SCRYPT_RUNTIME_BOUNDARY	api_and_desktop_auth_tests
CRITICAL_OPERATIONS	apps/desktop/test/auth-coordinator.test.mjs	c064602978539df5fb5c3f991db483e7a7c3a270	1301a211abbfe2d5710b8a41f93da799d3803ea4	MODIFIED	STRENGTHENED_TEST_COVERAGE	targeted_test_suite
AWS_RUNTIME_AUTH	apps/desktop/test/aws-runtime-client.test.mjs	75282bf9462c6ac0acf398fa864f6655e37d5189	eb97950a48e9569fa1b270248c10a918597ad962	MODIFIED	STRENGTHENED_TEST_COVERAGE	targeted_test_suite
SECURITY_AUTHZ	apps/web/src/people/security/HrxStepUpChallenge.tsx	24bcd8f44717b5399b53f6ee23eafd4e52e81840	e9952e0817ab08aa84b121c3618bd62b02b20e04	MODIFIED	STRENGTHENED_ROLE_PURPOSE_SCOPE_SESSION_BOUNDARY	authz_api_security_tests
RELEASE_INFRA	contracts/hrx-release-readiness.json	8337c1cf006ae7bbf1f81c3b32ff277133f238fb	8337c1cf006ae7bbf1f81c3b32ff277133f238fb	BYTE_IDENTICAL	PRESERVED	blob_identity
RELEASE_INFRA	contracts/production-data-policy-contract.json	0a3270152b9e8ea1a5f495ff263cb398a0b81735	0a3270152b9e8ea1a5f495ff263cb398a0b81735	BYTE_IDENTICAL	PRESERVED	blob_identity
AWS_RUNTIME_AUTH	docs/launch/aws-production-lcx-ppl-browser-smoke-receipt.json	25f5fa087be606fb538e189d8ba8344a9c1a40bb	25f5fa087be606fb538e189d8ba8344a9c1a40bb	BYTE_IDENTICAL	PRESERVED	blob_identity
AWS_RUNTIME_AUTH	docs/launch/aws-temporary-production-web-receipt.json	2744e3f3d7ad4d30f0424c3ffc47d9b2035de7ed	2744e3f3d7ad4d30f0424c3ffc47d9b2035de7ed	BYTE_IDENTICAL	PRESERVED	blob_identity
RELEASE_INFRA	docs/launch/l3/cicd-deployment-pipeline-blocker-survey.md	51d0d783cad95ece5404e93e8cdf2d99caad900d	51d0d783cad95ece5404e93e8cdf2d99caad900d	BYTE_IDENTICAL	PRESERVED	blob_identity
RELEASE_INFRA	docs/launch/l3/outlook-addin-deployment-blocker-survey.md	c203bed204a036a853b51f8f4a3027859c681871	c203bed204a036a853b51f8f4a3027859c681871	BYTE_IDENTICAL	PRESERVED	blob_identity
RELEASE_INFRA	docs/launch/l4/parity-release-decision-blocker-survey.md	5d9eb1d848ec1ee70ea22945836fa4f087b731a0	5d9eb1d848ec1ee70ea22945836fa4f087b731a0	BYTE_IDENTICAL	PRESERVED	blob_identity
