tuw_id,gate,pr_wave,priority,classification,target_path,implemented_by,loop_stream
"MV-G0-W00-T001","MV-G0","PR-01","P0","implemented_literal","docs/reorganization/client-matter-os/matter-vault-r4/ownership.md","docs/reorganization/client-matter-os/matter-vault-r4/ownership.md","MV-H1-crosswalk-boundary"
"MV-G0-W00-T002","MV-G0","PR-01","P0","implemented_literal","packages/matter/src/matter-vault-link.js","packages/matter/src/matter-vault-link.js","MV-H1-crosswalk-boundary"
"MV-G0-W00-T003","MV-G0","PR-01","P0","implemented_literal","docs/adr/matter-vault-boundary.md","docs/adr/matter-vault-boundary.md","MV-H1-crosswalk-boundary"
"MV-G0-W00-T004","MV-G0","PR-01","P0","implemented_literal","scripts/audit-matter-vault-r4-blockers.mjs","scripts/audit-matter-vault-r4-blockers.mjs","MV-H1-crosswalk-boundary"
"MV-G0-W00-T005","MV-G0","PR-01","P0","implemented_literal","docs/reorganization/client-matter-os/module-boundary.md","docs/reorganization/client-matter-os/module-boundary.md","MV-H1-crosswalk-boundary"
"MV-G0-W00-T006","MV-G0","PR-01","P0","implemented_literal","docs/reorganization/client-matter-os/matter-vault-r4/api-matrix.md","docs/reorganization/client-matter-os/matter-vault-r4/api-matrix.md","MV-H1-crosswalk-boundary"
"MV-G0-W00-T007","MV-G0","PR-01","P0","implemented_literal","docs/reorganization/client-matter-os/matter-vault-r4/event-taxonomy.md","docs/reorganization/client-matter-os/matter-vault-r4/event-taxonomy.md","MV-H1-crosswalk-boundary"
"MV-G0-W00-T008","MV-G0","PR-01","P1","implemented_literal","docs/reorganization/client-matter-os/matter-vault-r4/ui-ia.md","docs/reorganization/client-matter-os/matter-vault-r4/ui-ia.md","MV-H1-crosswalk-boundary"
"MV-G0-W00-T009","MV-G0","PR-01","P1","implemented_literal",".github/pull_request_template.md",".github/pull_request_template.md","MV-H1-crosswalk-boundary"
"MV-G0-W00-T010","MV-G0","PR-01","P1","implemented_literal","docs/reorganization/client-matter-os/matter-vault-r4/g0-closeout.md","docs/reorganization/client-matter-os/matter-vault-r4/g0-closeout.md","MV-H1-crosswalk-boundary"
"MV-G1-W01-T001","MV-G1","PR-02","P0","implemented_literal","packages/platform/src/persistence/repository.js","packages/platform/src/persistence/repository.js","MV-H2-persistence-target-mapping"
"MV-G1-W01-T002","MV-G1","PR-02","P0","implemented_literal","packages/platform/src/persistence/migration-runner.js","packages/platform/src/persistence/migration-runner.js","MV-H2-persistence-target-mapping"
"MV-G1-W01-T003","MV-G1","PR-02","P0","implemented_literal","packages/platform/src/persistence/unit-of-work.js","packages/platform/src/persistence/unit-of-work.js","MV-H2-persistence-target-mapping"
"MV-G1-W01-T004","MV-G1","PR-02","P0","implemented_literal","packages/platform/src/persistence/idempotency-store.js","packages/platform/src/persistence/idempotency-store.js","MV-H2-persistence-target-mapping"
"MV-G1-W01-T005","MV-G1","PR-02","P0","implemented_literal","packages/platform/src/persistence/outbox.js","packages/platform/src/persistence/outbox.js","MV-H2-persistence-target-mapping"
"MV-G1-W01-T006","MV-G1","PR-02","P0","implemented_literal","packages/platform/migrations/001_matter_vault_core.sql","packages/platform/migrations/001_matter_vault_core.sql","MV-H2-persistence-target-mapping"
"MV-G1-W01-T007","MV-G1","PR-02","P0","implemented_literal","packages/platform/src/persistence/seed-mode.js","packages/platform/src/persistence/seed-mode.js","MV-H2-persistence-target-mapping"
"MV-G1-W01-T008","MV-G1","PR-02","P1","implemented_literal","packages/platform/test/transaction-rollback.test.js","packages/platform/test/transaction-rollback.test.js","MV-H2-persistence-target-mapping"
"MV-G1-W01-T009","MV-G1","PR-02","P1","implemented_literal","scripts/audit-no-in-memory-production.mjs","scripts/audit-no-in-memory-production.mjs","MV-H2-persistence-target-mapping"
"MV-G1-W01-T010","MV-G1","PR-02","P1","implemented_literal","apps/api/src/runtime-factory.js","apps/api/src/runtime-factory.js","MV-H2-persistence-target-mapping"
"MV-G1-W01-T011","MV-G1","PR-02","P1","implemented_literal","apps/api/test/matter-vault-persistence.test.js","apps/api/test/matter-vault-persistence.test.js","MV-H2-persistence-target-mapping"
