ID,Layer,Epic,Task,Severity,Current status,Target files,Acceptance criteria,Tests/commands,Dependencies,PR sequence,Risk if skipped
HRX-L0-001,L0,Boundary,현재 HRX runtime evidence와 production readiness 경계 문서화,P0,Partial,docs/hrx-enterprise/00-boundary-decision.md,R4/go-live/enterprise claim 금지 문구와 source evidence register 포함,npm run hrx:release:validate,none,PR-00,enterprise-ready claim invalid
HRX-L0-002,L0,Boundary,Drive planning-only 문서와 GitHub runtime evidence 간 source-of-truth hierarchy 정리,P0,Partial,docs/hrx-enterprise/plan-intake.md,"Drive=planning, GitHub=snapshot runtime evidence, conflict policy 명시",npm run hrx:release:validate,none,PR-00,enterprise-ready claim invalid
HRX-L0-003,L0,Boundary,CMP-G3/G12 readiness string 유지 및 승격 조건 정의,P0,Partial,docs/hrx-enterprise/03-release-gates.md,runtime_api_evidence_only__durable_persistence_open 승격 조건 정의,npm run hrx:release:validate,none,PR-00,enterprise-ready claim invalid
HRX-L0-004,L0,Boundary,R4/go-live 금지 validator rule 작성,P0,Partial,scripts/validate-hrx-no-premature-claim.mjs,forbidden readiness string 검출 시 실패,npm run hrx:release:validate,none,PR-00,enterprise-ready claim invalid
HRX-L0-005,L0,Boundary,기존 descriptor-only evidence를 runtime evidence와 분리,P1,Partial,docs/hrx-enterprise/01-terminology.md,"descriptor, fixture, runtime API evidence, durable runtime 용어 구분",npm run hrx:release:validate,none,PR-00,scope drift / weak runtime maturity
HRX-L0-006,L0,Boundary,개발팀 handoff receipt template 고정,P1,Partial,docs/hrx-enterprise/dev-handoff-receipt.md,PR/owner/validator/evidence field 포함,npm run hrx:release:validate,none,PR-00,scope drift / weak runtime maturity
HRX-L0-007,L0,Boundary,TUW traceability matrix 기준 수립,P1,Partial,docs/hrx-enterprise/tuw-traceability-matrix.md,모든 TUW가 file/test/validator/status를 가진다,npm run hrx:release:validate,none,PR-00,scope drift / weak runtime maturity
HRX-L0-008,L0,Boundary,roadmap risk register baseline,P1,Partial,docs/hrx-enterprise/risk-register.md,P0/P1 risk와 owner/mitigation 포함,npm run hrx:release:validate,none,PR-00,scope drift / weak runtime maturity
HRX-L1-001,L1,Durable Persistence,DB adapter port 정의,P0,Not started/partial,packages/hrx/src/store/port.js,query/transaction/migrate/close interface 정의,npm run hrx:persistence:validate; npm test,L0,PR-01/02,enterprise-ready claim invalid
HRX-L1-002,L1,Durable Persistence,SQL-backed Employee repository 구현,P0,Not started/partial,packages/hrx/src/repository-sql.js,Employee CRUD가 DB transaction 안에서 동작,npm run hrx:persistence:validate; npm test,L0,PR-01/02,enterprise-ready claim invalid
HRX-L1-003,L1,Durable Persistence,SQL-backed EmploymentProfile repository 구현,P0,Not started/partial,packages/hrx/src/repository-sql.js,EmploymentProfile CRUD/FK validation DB-backed,npm run hrx:persistence:validate; npm test,L0,PR-01/02,enterprise-ready claim invalid
HRX-L1-004,L1,Durable Persistence,EmployeeUserLink repository/API 기반 준비,P0,Not started/partial,packages/hrx/src/identity-link.js,login_mapping 외 purpose 차단,npm run hrx:persistence:validate; npm test,L0,PR-01/02,enterprise-ready claim invalid
HRX-L1-005,L1,Durable Persistence,migration runner 구현,P0,Not started/partial,packages/hrx/src/migrations/index.js; scripts/migrate-hrx.mjs,001_hrx_core.sql idempotent apply,npm run hrx:persistence:validate; npm test,L0,PR-01/02,enterprise-ready claim invalid
HRX-L1-006,L1,Durable Persistence,documents/leave/audit migration 작성,P0,Not started/partial,packages/hrx/src/migrations/002_hrx_documents_leave_audit.sql,HRDocument/Leave/Audit tables 생성,npm run hrx:persistence:validate; npm test,L0,PR-01/02,enterprise-ready claim invalid
HRX-L1-007,L1,Durable Persistence,runtime context store injection,P0,Not started/partial,apps/api/src/hrx-runtime-context.js,createHrxRuntimeContext({store}) 지원,npm run hrx:persistence:validate; npm test,L0,PR-01/02,enterprise-ready claim invalid
HRX-L1-008,L1,Durable Persistence,seed runner 구현,P0,Not started/partial,scripts/seed-hrx-fixtures.mjs,synthetic fixture를 DB에 seed,npm run hrx:persistence:validate; npm test,L0,PR-01/02,enterprise-ready claim invalid
HRX-L1-009,L1,Durable Persistence,in-memory repository를 test fixture로 격하,P0,Not started/partial,packages/hrx/src/repository.js,production runtime default에서 제외,npm run hrx:persistence:validate; npm test,L0,PR-01/02,enterprise-ready claim invalid
HRX-L1-010,L1,Durable Persistence,restart durability test,P0,Not started/partial,apps/api/test/hrx/durability.test.js,write -> restart -> read pass,npm run hrx:persistence:validate; npm test,L0,PR-01/02,enterprise-ready claim invalid
HRX-L1-011,L1,Durable Persistence,repository transaction rollback test,P1,Not started/partial,packages/hrx/test/repository-sql.test.js,invalid write rollback,npm run hrx:persistence:validate; npm test,L0,PR-01/02,scope drift / weak runtime maturity
HRX-L1-012,L1,Durable Persistence,migration non-destructive validator 강화,P1,Not started/partial,packages/hrx/test/migration.test.js,DROP/TRUNCATE/unsafe DELETE 차단,npm run hrx:persistence:validate; npm test,L0,PR-01/02,scope drift / weak runtime maturity
HRX-L1-013,L1,Durable Persistence,backup/restore smoke seed,P1,Not started/partial,scripts/hrx-backup-restore-smoke.mjs,backup hash/count restore 검증,npm run hrx:persistence:validate; npm test,L0,PR-01/02,scope drift / weak runtime maturity
HRX-L1-014,L1,Durable Persistence,persistence validator,P1,Not started/partial,scripts/validate-hrx-persistence.mjs,in-memory-only default이면 실패,npm run hrx:persistence:validate; npm test,L0,PR-01/02,scope drift / weak runtime maturity
HRX-L2-001,L2,Trust Boundary,HRX route policy map 작성,P0,Partial,apps/api/src/routes/hrx/route-policy-map.js,모든 /api/hrx/* route에 action/sensitivity/required_scope 존재,npm run hrx:authz:validate; npm run hrx:security:validate; npm test,L1,PR-03/04/05,enterprise-ready claim invalid
