tuw_id,gate,gate_name,domain,phase,sprint_window,pr_slice,priority,target_r_level,task,owner_role,target_files,evidence_path,source_status,repo_status,existing_target_state,implementation_gate,acceptance_criteria
CMP-G0-W00-T001,CMP-G0,Product Governance & Architecture Freeze,Architecture,P0,S01-S02,PR-01,P0,R0/R1,Source package intake freeze,Architecture Lead / PM,docs/reorganization/client-matter-os/cmp-v1/00-cmp-source-intake.md,docs/reorganization/client-matter-os/cmp-v1/evidence/cmp-g0-001.md,Not Started,target_files_present_needs_r4_evidence,all_declared_targets_present,not_closed,No runtime claim; 316 TUWs counted; source path/hash present; evidence artifact linked; validator passes; no descriptor-only completion claim.
CMP-G0-W00-T002,CMP-G0,Product Governance & Architecture Freeze,Architecture,P0,S01-S02,PR-01,P0,R0/R1,CMP v1 TUW crosswalk validation,Architecture Lead / PM,docs/reorganization/client-matter-os/cmp-v1/cmp-v1-tuw-crosswalk.csv; scripts/validate-client-matter-os-cmp-v1.mjs,docs/reorganization/client-matter-os/cmp-v1/evidence/cmp-g0-002.md,Not Started,target_files_present_needs_r4_evidence,all_declared_targets_present,not_closed,Validator fails on missing/duplicate CMP TUW; evidence artifact linked; validator passes; no descriptor-only completion claim.
CMP-G0-W00-T003,CMP-G0,Product Governance & Architecture Freeze,Architecture,P0,S01-S02,PR-01,P0,R0/R1,Canonical glossary freeze,Architecture Lead / PM,docs/reorganization/client-matter-os/cmp-v1/glossary.md; contracts/*.json,docs/reorganization/client-matter-os/cmp-v1/evidence/cmp-g0-003.md,Not Started,partial_target_present,some_declared_targets_present,not_closed,No term collision; User != Employee; evidence artifact linked; validator passes; no descriptor-only completion claim.
CMP-G0-W00-T004,CMP-G0,Product Governance & Architecture Freeze,Architecture,P0,S01-S02,PR-01,P0,R0/R1,Object ownership matrix freeze,Architecture Lead / PM,docs/reorganization/client-matter-os/cmp-v1/object-ownership.md,docs/reorganization/client-matter-os/cmp-v1/evidence/cmp-g0-004.md,Not Started,target_files_present_needs_r4_evidence,all_declared_targets_present,not_closed,Every object has one canonical owner; evidence artifact linked; validator passes; no descriptor-only completion claim.
CMP-G0-W00-T005,CMP-G0,Product Governance & Architecture Freeze,Architecture,P0,S01-S02,PR-01,P0,R0/R1,Module boundary freeze,Architecture Lead / PM,docs/reorganization/client-matter-os/cmp-v1/module-boundaries.md,docs/reorganization/client-matter-os/cmp-v1/evidence/cmp-g0-005.md,Not Started,target_files_present_needs_r4_evidence,all_declared_targets_present,not_closed,No module owns forbidden object; evidence artifact linked; validator passes; no descriptor-only completion claim.
CMP-G0-W00-T006,CMP-G0,Product Governance & Architecture Freeze,Architecture,P0,S01-S02,PR-01,P0,R0/R1,Runtime readiness taxonomy,Architecture Lead / PM,docs/reorganization/client-matter-os/cmp-v1/runtime-readiness-standard.md,docs/reorganization/client-matter-os/cmp-v1/evidence/cmp-g0-006.md,Not Started,target_files_present_needs_r4_evidence,all_declared_targets_present,not_closed,Descriptor/synthetic/API evidence separated from R4; evidence artifact linked; validator passes; no descriptor-only completion claim.
CMP-G0-W00-T007,CMP-G0,Product Governance & Architecture Freeze,Architecture,P0,S01-S02,PR-01,P0,R0/R1,Target repo folder map,Architecture Lead / PM,docs/reorganization/client-matter-os/cmp-v1/target-folder-map.md,docs/reorganization/client-matter-os/cmp-v1/evidence/cmp-g0-007.md,Not Started,target_files_present_needs_r4_evidence,all_declared_targets_present,not_closed,Each package has owner and R-level; evidence artifact linked; validator passes; no descriptor-only completion claim.
CMP-G0-W00-T008,CMP-G0,Product Governance & Architecture Freeze,Architecture,P0,S01-S02,PR-01,P0,R0/R1,PR discipline and review policy,Architecture Lead / PM,docs/reorganization/client-matter-os/cmp-v1/pr-policy.md; .github/pull_request_template.md,docs/reorganization/client-matter-os/cmp-v1/evidence/cmp-g0-008.md,Not Started,target_files_present_needs_r4_evidence,all_declared_targets_present,not_closed,PR template includes TUW/evidence/R-claim checks; evidence artifact linked; validator passes; no descriptor-only completion claim.
CMP-G0-W00-T009,CMP-G0,Product Governance & Architecture Freeze,Architecture,P0,S01-S02,PR-01,P1,R0/R1,R4 blocker audit script,Architecture Lead / PM,scripts/audit-cmp-r4-blockers.mjs,docs/reorganization/client-matter-os/cmp-v1/evidence/cmp-g0-009.md,Not Started,target_files_present_needs_r4_evidence,all_declared_targets_present,not_closed,Fails if in-memory/synthetic markers remain in R4 lane; evidence artifact linked; validator passes; no descriptor-only completion claim.
CMP-G0-W00-T010,CMP-G0,Product Governance & Architecture Freeze,Architecture,P0,S01-S02,PR-01,P1,R0/R1,Migration manifest template,Architecture Lead / PM,docs/reorganization/client-matter-os/cmp-v1/migration-manifest.csv,docs/reorganization/client-matter-os/cmp-v1/evidence/cmp-g0-010.md,Not Started,target_files_present_needs_r4_evidence,all_declared_targets_present,not_closed,Every moved artifact has before/after owner; evidence artifact linked; validator passes; no descriptor-only completion claim.
CMP-G0-W00-T011,CMP-G0,Product Governance & Architecture Freeze,Architecture,P0,S01-S02,PR-01,P1,R0/R1,API route standard freeze,Architecture Lead / PM,docs/reorganization/client-matter-os/cmp-v1/api-standard.md,docs/reorganization/client-matter-os/cmp-v1/evidence/cmp-g0-011.md,Not Started,target_files_present_needs_r4_evidence,all_declared_targets_present,not_closed,All write APIs define audit and idempotency; evidence artifact linked; validator passes; no descriptor-only completion claim.
