"screenshot_id","flow_id","screen_family","state_family","matter_route","expected_text","route_verified","verification_tier","next_gate"
"0","marketing-entry","Marketing landing","public marketing hero","/?locale=en&view=auth&authStep=signup","Chart your legal path","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"1","signup-start","Signup modal over app preview","signup modal/form","/?locale=en&view=auth&authStep=signupModal","Get started free","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"2","signup-start","Signup modal over app preview","signup modal/form","/?locale=en&view=auth&authStep=signupModal","Get started free","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"3","signup-start","Signup modal over app preview","signup modal/form","/?locale=en&view=auth&authStep=signupModal","Get started free","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"4","email-verification","Email verification","email verification","/?locale=ko&view=auth&authStep=verify","이메일을 확인하세요","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"5","password-setup","Password setup","password setup","/?locale=en&view=auth&authStep=password","Set your password","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"6","password-setup","Password setup","password setup","/?locale=en&view=auth&authStep=password","Set your password","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"7","password-setup","Password setup","password setup","/?locale=en&view=auth&authStep=password","Set your password","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"8","organization-create","Organization creation","organization setup","/?locale=ko&view=auth&authStep=org","조직 생성","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"9","organization-create","Organization creation","organization setup","/?locale=ko&view=auth&authStep=org","조직 생성","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"10","organization-create","Organization creation","organization setup","/?locale=ko&view=auth&authStep=org","조직 생성","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"11","loading","Loading interstitial","loading interstitial","/?locale=ko&view=loading","matter 작업공간을 불러오는 중","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"12","onboarding-source-selection","Onboarding checklist","onboarding connector checklist","/?locale=en&view=auth&authStep=onboarding","Set up matter","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
