cmp_tuw_id,cmp_gate,cmp_gate_name,cmp_workstream,cmp_task,risk,priority,runtime_readiness_target,integration_order,implementation_batch,repo_absorption_lane,existing_lfos_anchor,github_history_unit,runtime_claim_rule,status
CMP-G0-W00-T001,CMP-G0,Product Governance & Architecture Freeze,W00 Governance & Architecture Freeze,기존 repo/package/contract inventory 생성,Medium,P0,R1,01,B01-cmp-governance-freeze,docs/reorganization/client-matter-os; governance ADRs; runtime readiness standard,LFOS-G0-W00-T001..LFOS-G0-W00-T010,branch codex/lawos-cmp-g0-w00; commit/PR slice cmp-g0-w00-기존-repo-package-contract-inventory-생성,planning-only until row evidence proves persistence/write API/permission/audit/state/idempotency and gate validator passes,planned_extension
CMP-G0-W00-T002,CMP-G0,Product Governance & Architecture Freeze,W00 Governance & Architecture Freeze,descriptor/synthetic/runtime 상태 분류표 작성,High,P0,R1,01,B01-cmp-governance-freeze,docs/reorganization/client-matter-os; governance ADRs; runtime readiness standard,LFOS-G0-W00-T001..LFOS-G0-W00-T010,branch codex/lawos-cmp-g0-w00; commit/PR slice cmp-g0-w00-descriptor-synthetic-runtime-상태-분류표-작성,planning-only until row evidence proves persistence/write API/permission/audit/state/idempotency and gate validator passes,planned_extension
CMP-G0-W00-T003,CMP-G0,Product Governance & Architecture Freeze,W00 Governance & Architecture Freeze,Client/Party/Matter/People/Vault canonical glossary 확정,High,P0,R1,01,B01-cmp-governance-freeze,docs/reorganization/client-matter-os; governance ADRs; runtime readiness standard,LFOS-G0-W00-T001..LFOS-G0-W00-T010,branch codex/lawos-cmp-g0-w00; commit/PR slice cmp-g0-w00-client-party-matter-people-vault-canonical-glossary-확정,planning-only until row evidence proves persistence/write API/permission/audit/state/idempotency and gate validator passes,planned_extension
CMP-G0-W00-T004,CMP-G0,Product Governance & Architecture Freeze,W00 Governance & Architecture Freeze,canonical object ownership matrix 확정,Critical,P0,R1,01,B01-cmp-governance-freeze,docs/reorganization/client-matter-os; governance ADRs; runtime readiness standard,LFOS-G0-W00-T001..LFOS-G0-W00-T010,branch codex/lawos-cmp-g0-w00; commit/PR slice cmp-g0-w00-canonical-object-ownership-matrix-확정,planning-only until row evidence proves persistence/write API/permission/audit/state/idempotency and gate validator passes,planned_extension
CMP-G0-W00-T005,CMP-G0,Product Governance & Architecture Freeze,W00 Governance & Architecture Freeze,BillingProfile owner ADR 확정,High,P0,R1,01,B01-cmp-governance-freeze,docs/reorganization/client-matter-os; governance ADRs; runtime readiness standard,LFOS-G0-W00-T001..LFOS-G0-W00-T010,branch codex/lawos-cmp-g0-w00; commit/PR slice cmp-g0-w00-billingprofile-owner-adr-확정,planning-only until row evidence proves persistence/write API/permission/audit/state/idempotency and gate validator passes,planned_extension
CMP-G0-W00-T006,CMP-G0,Product Governance & Architecture Freeze,W00 Governance & Architecture Freeze,User≠Employee ADR 확정,Critical,P0,R1,01,B01-cmp-governance-freeze,docs/reorganization/client-matter-os; governance ADRs; runtime readiness standard,LFOS-G0-W00-T001..LFOS-G0-W00-T010,branch codex/lawos-cmp-g0-w00; commit/PR slice cmp-g0-w00-user-employee-adr-확정,planning-only until row evidence proves persistence/write API/permission/audit/state/idempotency and gate validator passes,planned_extension
CMP-G0-W00-T007,CMP-G0,Product Governance & Architecture Freeze,W00 Governance & Architecture Freeze,MatterTeam→Employee ADR 확정,Critical,P0,R1,01,B01-cmp-governance-freeze,docs/reorganization/client-matter-os; governance ADRs; runtime readiness standard,LFOS-G0-W00-T001..LFOS-G0-W00-T010,branch codex/lawos-cmp-g0-w00; commit/PR slice cmp-g0-w00-matterteam-employee-adr-확정,planning-only until row evidence proves persistence/write API/permission/audit/state/idempotency and gate validator passes,planned_extension
CMP-G0-W00-T008,CMP-G0,Product Governance & Architecture Freeze,W00 Governance & Architecture Freeze,Vault-backed DMS runtime ADR 확정,Critical,P0,R1,01,B01-cmp-governance-freeze,docs/reorganization/client-matter-os; governance ADRs; runtime readiness standard,LFOS-G0-W00-T001..LFOS-G0-W00-T010,branch codex/lawos-cmp-g0-w00; commit/PR slice cmp-g0-w00-vault-backed-dms-runtime-adr-확정,planning-only until row evidence proves persistence/write API/permission/audit/state/idempotency and gate validator passes,planned_extension
CMP-G0-W00-T009,CMP-G0,Product Governance & Architecture Freeze,W00 Governance & Architecture Freeze,source-of-truth hierarchy 문서화,Medium,P1,R1,01,B01-cmp-governance-freeze,docs/reorganization/client-matter-os; governance ADRs; runtime readiness standard,LFOS-G0-W00-T001..LFOS-G0-W00-T010,branch codex/lawos-cmp-g0-w00; commit/PR slice cmp-g0-w00-source-of-truth-hierarchy-문서화,planning-only until row evidence proves persistence/write API/permission/audit/state/idempotency and gate validator passes,planned_extension
CMP-G0-W00-T010,CMP-G0,Product Governance & Architecture Freeze,W00 Governance & Architecture Freeze,runtime readiness R0~R6 badge 표준 작성,High,P0,R1,01,B01-cmp-governance-freeze,docs/reorganization/client-matter-os; governance ADRs; runtime readiness standard,LFOS-G0-W00-T001..LFOS-G0-W00-T010,branch codex/lawos-cmp-g0-w00; commit/PR slice cmp-g0-w00-runtime-readiness-r0-r6-badge-표준-작성,planning-only until row evidence proves persistence/write API/permission/audit/state/idempotency and gate validator passes,planned_extension
