"screenshot_id","flow_id","screen_family","implementation_phase","state_family","matter_route","expected_text","verification_tier","next_gate"
"0","marketing-entry","Marketing landing","P2 auth and onboarding flow","public marketing hero","/?locale=en&view=auth&authStep=signup","Chart your legal path","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"1","signup-start","Signup modal over app preview","P2 auth and onboarding flow","signup modal/form","/?locale=en&view=auth&authStep=signupModal","Get started free","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"2","signup-start","Signup modal over app preview","P2 auth and onboarding flow","signup modal/form","/?locale=en&view=auth&authStep=signupModal","Get started free","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"3","signup-start","Signup modal over app preview","P2 auth and onboarding flow","signup modal/form","/?locale=en&view=auth&authStep=signupModal","Get started free","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"4","email-verification","Email verification","P2 auth and onboarding flow","email verification","/?locale=ko&view=auth&authStep=verify","이메일을 확인하세요","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"5","password-setup","Password setup","P2 auth and onboarding flow","password setup","/?locale=en&view=auth&authStep=password","Set your password","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"6","password-setup","Password setup","P2 auth and onboarding flow","password setup","/?locale=en&view=auth&authStep=password","Set your password","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"7","password-setup","Password setup","P2 auth and onboarding flow","password setup","/?locale=en&view=auth&authStep=password","Set your password","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"8","organization-create","Organization creation","P2 auth and onboarding flow","organization setup","/?locale=ko&view=auth&authStep=org","조직 생성","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"9","organization-create","Organization creation","P2 auth and onboarding flow","organization setup","/?locale=ko&view=auth&authStep=org","조직 생성","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"10","organization-create","Organization creation","P2 auth and onboarding flow","organization setup","/?locale=ko&view=auth&authStep=org","조직 생성","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"11","loading","Loading interstitial","P1 app shell / navigation / search","loading interstitial","/?locale=ko&view=loading","matter 작업공간을 불러오는 중","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"12","onboarding-source-selection","Onboarding checklist","P2 auth and onboarding flow","onboarding connector checklist","/?locale=en&view=auth&authStep=onboarding","Set up matter","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"13","onboarding-source-selection","Onboarding checklist","P2 auth and onboarding flow","onboarding connector checklist","/?locale=en&view=auth&authStep=onboarding","Set up matter","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"14","home-dashboard","Home dashboard","P3 home dashboards and templates","home dashboard","/?locale=ko&view=home","Matter Analytics","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"15","home-dashboard","Home dashboard","P3 home dashboards and templates","home dashboard","/?locale=ko&view=home","Matter Analytics","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"16","home-guidance","Guidance overlays","P3 home dashboards and templates","new navigation tour modal","/?locale=en&view=home&modal=newNavigationTour","Experience the new Amplitude","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"17","home-guidance","Guidance overlays","P3 home dashboards and templates","home guidance modal/popover family","/?locale=en&view=home&variant=tour","What's New","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
