category	mode	size	sha256	path
tracked_modified	644	7056	2121bfa2e7c4d02316789a8b86f431c6524d2f5739f8345b64dc3eacae3506d8	apps/api/src/hrx-member-roster-registry.js
tracked_modified	644	180995	b74570e8fb03c65e8a5de6dfdb77cdcebaf32cf0f752c4f3ed0eb63e5964f1f5	apps/api/src/hrx-runtime-context.js
tracked_modified	644	8368	b6b905824c9390651919dbe585ca51138a19a4c093014a0675876afcf7fcb258	apps/api/src/lawos-role-registry.js
tracked_modified	644	4091	f9f24bf767b8a21501e6fc3c357936eca8816823f2af03afea6f486507d24be4	apps/api/src/middleware/hrx-step-up.js
tracked_modified	644	8144	5572ddbbf364fc1dba4a8dd070121f0f43d80d73557e13c3c521575d15320c9f	apps/api/src/routes/hrx/payroll.js
tracked_modified	644	40751	3d8cac7c58c5307a389c8e545f31d82acc07372cdbb41b0dc1bc86862b621d7a	apps/api/src/routes/hrx/route-policy-map.js
tracked_modified	644	62189	e15dae3bfa2fba9587c4b2fdd60afb68a01d8bd02172ed7db2792651745480a3	apps/api/src/server.js
tracked_modified	644	14189	978d6577afcbc0534985015809e9e603ebc69da2505863ea29f893e76dc442eb	apps/api/test/hrx/leave-accrual-api.test.js
tracked_modified	644	11391	b39826529de6f47ea325e03fb185dbb04d4350247e144790eac53465cf92b23a	apps/api/test/hrx/leave-management-api.test.js
tracked_modified	644	3664	38274d692dca1c0f7d3640b8b2f83376e5e800bc21d0a9e1d3611d0d5bfdc686	apps/api/test/hrx/leave-policy-api.test.js
untracked	644	4304	73f80479eb219742f541060782c229b4beedc51e94635e3c2206842cc80d2150	apps/api/test/hrx/payroll-items-api.test.js
untracked	644	9051	684391e6b5ff3580e0cd84cfc555e566a3558d2ac8a426385f1ee20a7a3594a4	apps/api/test/hrx/payroll-profile-api.test.js
untracked	644	7582	299cd73b48f8db32d537bd096c40ec2f94bcbe6c63ed2a857a37feeb887b8fef	apps/api/test/hrx/payroll-time-input-api.test.js
tracked_modified	644	23207	57216ec0e47e7af323193ac293f34021a0552322c791dd8c171ec8ffea2201ea	apps/api/test/hrx/route-authz.test.js
tracked_modified	644	9646	b7c6df108e8dfe6d66f289efb571bcea9848b9c5ea7ccc3a48119a0bb767b1d2	apps/api/test/hrx/step-up-route.test.js
tracked_modified	644	5240	06f4a588d92780e0c1dc1acb3e3a1ee012d00298ad1e970fe90909caff3445fe	apps/api/test/profile-api.test.js
tracked_modified	644	8631	0a0b087b6e547bba4f19fe3ba92df9f6811e83e3603115496f10392369e60e20	apps/desktop/src/main/main.js
tracked_modified	644	17432	106b6a025d7e3d5640480147beff36f5d1470b90f8cbf5a15268383e47240f63	apps/desktop/test/shell-smoke.test.mjs
tracked_modified	644	11508	2d69f12bec32c2945c00f91f9e350444c6d028f8b8ab1ed98b9e133c23e5add8	apps/web/src/components/AuthSurface.jsx
tracked_modified	644	18461	362a781e158b7044abddd89fa57c7515ddec514c9f262929a4f3ef2c16ea9590	apps/web/src/components/UserProfileSurface.jsx
tracked_modified	644	69639	3efcce424772489db2ec9c53699a97258c9cbdab798be1b94c1bac91254c9912	apps/web/src/people/hrxApiClient.ts
tracked_modified	644	21277	63dd0e186adeb1ee67b621942e95fc192f28b6a4cc9580a5990003a1b9073651	apps/web/src/people/leave/LeaveAccrualAutoPage.tsx
tracked_modified	644	12381	21bd72f720c69433dbbdce364c3667d6fd3fe1e91993fef39a2c765066b4095e	apps/web/src/people/leave/LeaveAccrualManualPage.tsx
