unit_id	source_migration	object_type	table	name	canonical_key	disposition	destination	forest_anchor	definition_sha256	rationale
011_hrx_payroll_items.sql|TABLE|hrx_payroll_items|hrx_payroll_items	011_hrx_payroll_items.sql	TABLE	hrx_payroll_items	hrx_payroll_items	TABLE:hrx_payroll_items:hrx_payroll_items	PORT_026_PLUS	026_hrx_payroll_catalog_assignments.sql	packages/hrx/src/migrations/021_hrx_payroll_runtime.sql	db6d51ec567c0f7e7cb31dd2e38581f1a757ab38a8454dd327cd9d125538a03c	Forest has calculated line items but no configurable payroll item catalog; this contract is additive.
011_hrx_payroll_items.sql|COLUMN|hrx_payroll_items|tenant_id	011_hrx_payroll_items.sql	COLUMN	hrx_payroll_items	tenant_id	COLUMN:hrx_payroll_items:tenant_id	PORT_026_PLUS	026_hrx_payroll_catalog_assignments.sql	packages/hrx/src/migrations/021_hrx_payroll_runtime.sql	313d3a6c5a8d3b04d7b41711e84cf6b41eb94a0d1731b1ef275a95a4675cc2bd	Forest has calculated line items but no configurable payroll item catalog; this contract is additive.
011_hrx_payroll_items.sql|COLUMN|hrx_payroll_items|item_id	011_hrx_payroll_items.sql	COLUMN	hrx_payroll_items	item_id	COLUMN:hrx_payroll_items:item_id	PORT_026_PLUS	026_hrx_payroll_catalog_assignments.sql	packages/hrx/src/migrations/021_hrx_payroll_runtime.sql	9a88f0f471df1a27be767b20a00f639625c5eb27cd8c549f34e45821d7f3bfb7	Forest has calculated line items but no configurable payroll item catalog; this contract is additive.
011_hrx_payroll_items.sql|COLUMN|hrx_payroll_items|code	011_hrx_payroll_items.sql	COLUMN	hrx_payroll_items	code	COLUMN:hrx_payroll_items:code	PORT_026_PLUS	026_hrx_payroll_catalog_assignments.sql	packages/hrx/src/migrations/021_hrx_payroll_runtime.sql	f66b55b8338a387593b68ec23f409a56efddf096f5aff934255f625451d9dc06	Forest has calculated line items but no configurable payroll item catalog; this contract is additive.
011_hrx_payroll_items.sql|COLUMN|hrx_payroll_items|display_name	011_hrx_payroll_items.sql	COLUMN	hrx_payroll_items	display_name	COLUMN:hrx_payroll_items:display_name	PORT_026_PLUS	026_hrx_payroll_catalog_assignments.sql	packages/hrx/src/migrations/021_hrx_payroll_runtime.sql	1e525ce6b7ad654c46dadf6dac11ab3778dfb34f545def4cf317fbfdfd7aa7ad	Forest has calculated line items but no configurable payroll item catalog; this contract is additive.
011_hrx_payroll_items.sql|COLUMN|hrx_payroll_items|kind	011_hrx_payroll_items.sql	COLUMN	hrx_payroll_items	kind	COLUMN:hrx_payroll_items:kind	PORT_026_PLUS	026_hrx_payroll_catalog_assignments.sql	packages/hrx/src/migrations/021_hrx_payroll_runtime.sql	b6cdca6e971c6bb8659cd70bd229b36226fcd81d0d604a13007904b46ca0e55d	Forest has calculated line items but no configurable payroll item catalog; this contract is additive.
011_hrx_payroll_items.sql|COLUMN|hrx_payroll_items|tax_treatment	011_hrx_payroll_items.sql	COLUMN	hrx_payroll_items	tax_treatment	COLUMN:hrx_payroll_items:tax_treatment	PORT_026_PLUS	026_hrx_payroll_catalog_assignments.sql	packages/hrx/src/migrations/021_hrx_payroll_runtime.sql	1368918988542f4813d59290566590c12b31bf93ac47c39478b62c153ab9497f	Forest has calculated line items but no configurable payroll item catalog; this contract is additive.
011_hrx_payroll_items.sql|COLUMN|hrx_payroll_items|value_mode	011_hrx_payroll_items.sql	COLUMN	hrx_payroll_items	value_mode	COLUMN:hrx_payroll_items:value_mode	PORT_026_PLUS	026_hrx_payroll_catalog_assignments.sql	packages/hrx/src/migrations/021_hrx_payroll_runtime.sql	5228c6b140cb9b3ba913deff7786fc238b965eb50a336810efe9184f8829c5ae	Forest has calculated line items but no configurable payroll item catalog; this contract is additive.
011_hrx_payroll_items.sql|COLUMN|hrx_payroll_items|calculation_order	011_hrx_payroll_items.sql	COLUMN	hrx_payroll_items	calculation_order	COLUMN:hrx_payroll_items:calculation_order	PORT_026_PLUS	026_hrx_payroll_catalog_assignments.sql	packages/hrx/src/migrations/021_hrx_payroll_runtime.sql	90c0b2fe7c52185c2f1481790593768dddc7114cb47c7ade7e43ec94c7241387	Forest has calculated line items but no configurable payroll item catalog; this contract is additive.
011_hrx_payroll_items.sql|COLUMN|hrx_payroll_items|effective_from	011_hrx_payroll_items.sql	COLUMN	hrx_payroll_items	effective_from	COLUMN:hrx_payroll_items:effective_from	PORT_026_PLUS	026_hrx_payroll_catalog_assignments.sql	packages/hrx/src/migrations/021_hrx_payroll_runtime.sql	bb565452ca6166ebb089d4c940907464b4240b42b30981f6c13a128aab8d3430	Forest has calculated line items but no configurable payroll item catalog; this contract is additive.
011_hrx_payroll_items.sql|COLUMN|hrx_payroll_items|effective_to	011_hrx_payroll_items.sql	COLUMN	hrx_payroll_items	effective_to	COLUMN:hrx_payroll_items:effective_to	PORT_026_PLUS	026_hrx_payroll_catalog_assignments.sql	packages/hrx/src/migrations/021_hrx_payroll_runtime.sql	4cc757708c479ba62f148219f484b5b0fc477b118cd6f01cd9a57baccd0b614a	Forest has calculated line items but no configurable payroll item catalog; this contract is additive.
011_hrx_payroll_items.sql|COLUMN|hrx_payroll_items|status	011_hrx_payroll_items.sql	COLUMN	hrx_payroll_items	status	COLUMN:hrx_payroll_items:status	PORT_026_PLUS	026_hrx_payroll_catalog_assignments.sql	packages/hrx/src/migrations/021_hrx_payroll_runtime.sql	19191c90e234ddeb00cfd9df5eabe881b39b370d8a5ea5bc054b9899b888599d	Forest has calculated line items but no configurable payroll item catalog; this contract is additive.
011_hrx_payroll_items.sql|COLUMN|hrx_payroll_items|state_version	011_hrx_payroll_items.sql	COLUMN	hrx_payroll_items	state_version	COLUMN:hrx_payroll_items:state_version	PORT_026_PLUS	026_hrx_payroll_catalog_assignments.sql	packages/hrx/src/migrations/021_hrx_payroll_runtime.sql	465769d87fd4ff33b4cf14ce9dab20024c063574e5bc69ce8abc71515479e364	Forest has calculated line items but no configurable payroll item catalog; this contract is additive.
011_hrx_payroll_items.sql|COLUMN|hrx_payroll_items|created_at	011_hrx_payroll_items.sql	COLUMN	hrx_payroll_items	created_at	COLUMN:hrx_payroll_items:created_at	PORT_026_PLUS	026_hrx_payroll_catalog_assignments.sql	packages/hrx/src/migrations/021_hrx_payroll_runtime.sql	59e0b04a623e194d85b604d4d0ce462c610117180a630dcc41a768ac0a16cee1	Forest has calculated line items but no configurable payroll item catalog; this contract is additive.
011_hrx_payroll_items.sql|COLUMN|hrx_payroll_items|updated_at	011_hrx_payroll_items.sql	COLUMN	hrx_payroll_items	updated_at	COLUMN:hrx_payroll_items:updated_at	PORT_026_PLUS	026_hrx_payroll_catalog_assignments.sql	packages/hrx/src/migrations/021_hrx_payroll_runtime.sql	f4207af636585629721977827d88e46d1c5db64a984a4b7523fff05598be318a	Forest has calculated line items but no configurable payroll item catalog; this contract is additive.
011_hrx_payroll_items.sql|PRIMARY_KEY|hrx_payroll_items|tenant_id,item_id	011_hrx_payroll_items.sql	PRIMARY_KEY	hrx_payroll_items	tenant_id,item_id	PRIMARY_KEY:hrx_payroll_items:tenant_id,item_id	PORT_026_PLUS	026_hrx_payroll_catalog_assignments.sql	packages/hrx/src/migrations/021_hrx_payroll_runtime.sql	f29b82384db57bf19639e69b58ce8fc55ae920fcdbf4e8e299b2cc67fae23371	Forest has calculated line items but no configurable payroll item catalog; this contract is additive.
011_hrx_payroll_items.sql|UNIQUE|hrx_payroll_items|tenant_id,code	011_hrx_payroll_items.sql	UNIQUE	hrx_payroll_items	tenant_id,code	UNIQUE:hrx_payroll_items:tenant_id,code	PORT_026_PLUS	026_hrx_payroll_catalog_assignments.sql	packages/hrx/src/migrations/021_hrx_payroll_runtime.sql	6a9c8ff40f52877aa7e9628d1052dd35b19958da3e3649ac81e3a2afa0545521	Forest has calculated line items but no configurable payroll item catalog; this contract is additive.
011_hrx_payroll_items.sql|CONSTRAINT|hrx_payroll_items|hrx_payroll_items_kind_check	011_hrx_payroll_items.sql	CONSTRAINT	hrx_payroll_items	hrx_payroll_items_kind_check	CONSTRAINT:hrx_payroll_items:hrx_payroll_items_kind_check	PORT_026_PLUS	026_hrx_payroll_catalog_assignments.sql	packages/hrx/src/migrations/021_hrx_payroll_runtime.sql	2e2377d8f5217ee485dc8fe510bfc10d1a28a52133cb4ea9cf16248447e05734	Forest has calculated line items but no configurable payroll item catalog; this contract is additive.
011_hrx_payroll_items.sql|CONSTRAINT|hrx_payroll_items|hrx_payroll_items_tax_check	011_hrx_payroll_items.sql	CONSTRAINT	hrx_payroll_items	hrx_payroll_items_tax_check	CONSTRAINT:hrx_payroll_items:hrx_payroll_items_tax_check	PORT_026_PLUS	026_hrx_payroll_catalog_assignments.sql	packages/hrx/src/migrations/021_hrx_payroll_runtime.sql	58a5a4fbc0c3f1e8518ab3cf700682ad318c526102366b5b2d416f4c37e9e122	Forest has calculated line items but no configurable payroll item catalog; this contract is additive.
011_hrx_payroll_items.sql|CONSTRAINT|hrx_payroll_items|hrx_payroll_items_value_mode_check	011_hrx_payroll_items.sql	CONSTRAINT	hrx_payroll_items	hrx_payroll_items_value_mode_check	CONSTRAINT:hrx_payroll_items:hrx_payroll_items_value_mode_check	PORT_026_PLUS	026_hrx_payroll_catalog_assignments.sql	packages/hrx/src/migrations/021_hrx_payroll_runtime.sql	7f9ee3d586548a0f67c94c7c504309b79e8cf3979b637bf0346799f36f2efbde	Forest has calculated line items but no configurable payroll item catalog; this contract is additive.
011_hrx_payroll_items.sql|CONSTRAINT|hrx_payroll_items|hrx_payroll_items_order_check	011_hrx_payroll_items.sql	CONSTRAINT	hrx_payroll_items	hrx_payroll_items_order_check	CONSTRAINT:hrx_payroll_items:hrx_payroll_items_order_check	PORT_026_PLUS	026_hrx_payroll_catalog_assignments.sql	packages/hrx/src/migrations/021_hrx_payroll_runtime.sql	83c1b7b552c60238039e2dd0a66ee0daf15a154af30d916baeb3ab8102e90a34	Forest has calculated line items but no configurable payroll item catalog; this contract is additive.
011_hrx_payroll_items.sql|CONSTRAINT|hrx_payroll_items|hrx_payroll_items_status_check	011_hrx_payroll_items.sql	CONSTRAINT	hrx_payroll_items	hrx_payroll_items_status_check	CONSTRAINT:hrx_payroll_items:hrx_payroll_items_status_check	PORT_026_PLUS	026_hrx_payroll_catalog_assignments.sql	packages/hrx/src/migrations/021_hrx_payroll_runtime.sql	51df5310119b1a4148f6b902714ab3061fa0b52dc32028d92372332799227184	Forest has calculated line items but no configurable payroll item catalog; this contract is additive.
012_hrx_payroll_profiles.sql|TABLE|hrx_payroll_profiles|hrx_payroll_profiles	012_hrx_payroll_profiles.sql	TABLE	hrx_payroll_profiles	hrx_payroll_profiles	TABLE:hrx_payroll_profiles:hrx_payroll_profiles	FOREST_SUPERSEDED	-	packages/hrx/src/migrations/021_hrx_payroll_runtime.sql	7391f61457c4723a3a56ece3cf04932dc462913e3896709c25606f2857d9f606	Forest 021/023/024 already owns the richer canonical payroll profile; the root profile schema would create a second model.
012_hrx_payroll_profiles.sql|COLUMN|hrx_payroll_profiles|tenant_id	012_hrx_payroll_profiles.sql	COLUMN	hrx_payroll_profiles	tenant_id	COLUMN:hrx_payroll_profiles:tenant_id	FOREST_SUPERSEDED	-	packages/hrx/src/migrations/021_hrx_payroll_runtime.sql	313d3a6c5a8d3b04d7b41711e84cf6b41eb94a0d1731b1ef275a95a4675cc2bd	Forest 021/023/024 already owns the richer canonical payroll profile; the root profile schema would create a second model.
012_hrx_payroll_profiles.sql|COLUMN|hrx_payroll_profiles|payroll_profile_id	012_hrx_payroll_profiles.sql	COLUMN	hrx_payroll_profiles	payroll_profile_id	COLUMN:hrx_payroll_profiles:payroll_profile_id	FOREST_SUPERSEDED	-	packages/hrx/src/migrations/021_hrx_payroll_runtime.sql	c139276cc4b07fbfeb6af531bd8ffebdf850f66dd451a889a1aef95bf0397b21	Forest 021/023/024 already owns the richer canonical payroll profile; the root profile schema would create a second model.
012_hrx_payroll_profiles.sql|COLUMN|hrx_payroll_profiles|employee_id	012_hrx_payroll_profiles.sql	COLUMN	hrx_payroll_profiles	employee_id	COLUMN:hrx_payroll_profiles:employee_id	FOREST_SUPERSEDED	-	packages/hrx/src/migrations/021_hrx_payroll_runtime.sql	32d5d1dc788266b55d68486672f39145ae04b4df3c34eb04960710ec3e75eaed	Forest 021/023/024 already owns the richer canonical payroll profile; the root profile schema would create a second model.
012_hrx_payroll_profiles.sql|COLUMN|hrx_payroll_profiles|version	012_hrx_payroll_profiles.sql	COLUMN	hrx_payroll_profiles	version	COLUMN:hrx_payroll_profiles:version	FOREST_SUPERSEDED	-	packages/hrx/src/migrations/021_hrx_payroll_runtime.sql	fa60f7027a26b19273eec01a129887a9c072d680a88a7d02549f907273f02734	Forest 021/023/024 already owns the richer canonical payroll profile; the root profile schema would create a second model.
012_hrx_payroll_profiles.sql|COLUMN|hrx_payroll_profiles|currency_ref	012_hrx_payroll_profiles.sql	COLUMN	hrx_payroll_profiles	currency_ref	COLUMN:hrx_payroll_profiles:currency_ref	FOREST_SUPERSEDED	-	packages/hrx/src/migrations/021_hrx_payroll_runtime.sql	84885b08b1e1f69fd6b936ee92e979d7acf25091e5f2e0b365ed96e0317f6108	Forest 021/023/024 already owns the richer canonical payroll profile; the root profile schema would create a second model.
012_hrx_payroll_profiles.sql|COLUMN|hrx_payroll_profiles|pay_frequency	012_hrx_payroll_profiles.sql	COLUMN	hrx_payroll_profiles	pay_frequency	COLUMN:hrx_payroll_profiles:pay_frequency	FOREST_SUPERSEDED	-	packages/hrx/src/migrations/021_hrx_payroll_runtime.sql	81418e16e8332303771020afc7b50b4f252fd82583fa52100788419e94bb055e	Forest 021/023/024 already owns the richer canonical payroll profile; the root profile schema would create a second model.
